year,month,product,country,volume_kg,value_usd
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,CHILE,4804,19216
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,CHINA,246543,3750230
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,ECUADOR,954,15602
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,INDIA,143102,2980300
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,INDONESIA,771587,16248934
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,PHILIPPINES,176364,3273656
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,SINGAPORE,15647,271421
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,SRI LANKA,15420,450812
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,THAILAND,3552,15200
2023,01,CRABMEAT SWIMMING (PORTUNIDAE) IN ATC,VIETNAM,279058,5138861
2023,01,CRAWFISH FRESHWATER FROZEN,CHINA,201205,603772
2023,01,CRAWFISH FRESHWATER FROZEN,SPAIN,19813,366581
2023,01,CRAWFISH FRESHWATER PEELED,CHINA,386975,1364295
2023,01,CRAWFISH FRESHWATER PEELED,EGYPT,6275,13835
2023,01,CRAWFISH FRESHWATER PEELED,JAPAN,1053,26284
2023,01,CRAWFISH FRESHWATER PEELED,VIETNAM,39192,185760
2023,01,CRUSTACEANS NSPF DRIED/SALTED/BRINE,JAPAN,6035,40915
2023,01,CRUSTACEANS NSPF DRIED/SALTED/BRINE,NORWAY,400,10148
2023,01,CRUSTACEANS NSPF DRIED/SALTED/BRINE,PHILIPPINES,236,4720
2023,01,CRUSTACEANS NSPF FROZEN,CHILE,23427,573956
2023,01,CRUSTACEANS NSPF FROZEN,CHINA,67325,456405
2023,01,CRUSTACEANS NSPF FROZEN,EGYPT,39044,273732
2023,01,CRUSTACEANS NSPF FROZEN,JAPAN,3000,45408
